Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FO","Forestry Production and Trade","153","New Caledonia","5516","Production","1628","Wood fuel, non-coniferous","2015","2015","m3","12600","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5516","Production","1628","Wood fuel, non-coniferous","2016","2016","m3","12684","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5516","Production","1628","Wood fuel, non-coniferous","2017","2017","m3","12769","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2000","2000","m3","111","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2001","2001","m3","111","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2002","2002","m3","111","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2003","2003","m3","1","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2004","2004","m3","1","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2005","2005","m3","1","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2006","2006","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2007","2007","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2008","2008","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2009","2009","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2010","2010","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2011","2011","m3","1","","Official data"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2012","2012","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2013","2013","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2014","2014","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2015","2015","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2016","2016","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5616","Import Quantity","1629","Wood fuel, all species (export/import)","2017","2017","m3","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2000","2000","1000 US$","4","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2001","2001","1000 US$","4","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2002","2002","1000 US$","4","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2003","2003","1000 US$","1","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2004","2004","1000 US$","1","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2005","2005","1000 US$","1","F","FAO estimate"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2006","2006","1000 US$","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2007","2007","1000 US$","1","Fp","Previous year"
"FO","Forestry Production and Trade","153","New Caledonia","5622","Import Value","1629","Wood fuel, all species (export/import)","2008","2008","1000 US$","1","Fp","Previous year"
